id,ElementProperty|MagpieData mean MendeleevNumber,GlobalSymmetryFeatures|spacegroup_num,ValenceOrbital|avg f valence electrons,ElementProperty|MagpieData maximum MendeleevNumber,LatticeConstants|a,hull_distance
93608745,67.2,187,0.0,74,3.17026856976948,
12064358,66.0,187,0.0,74,3.0672556251371,
95240316,64.0,187,5.6,74,3.05782755899947,
85397462,66.8,187,0.0,74,3.00352008970087,
34209168,65.6,187,0.0,74,2.93670193051488,
41253670,68.0,187,0.0,74,3.08819903267382,
54789260,64.8,187,0.0,74,3.04325430540209,
32508179,64.6,187,0.0,79,3.12433751759639,
92165478,68.2,187,0.0,79,3.18907782837676,
78351290,67.0,187,0.0,79,3.1153631614507,
85902746,65.0,187,5.6,79,3.13944282675675,
68293104,61.4,187,5.6,73,3.1559112592521,
23750186,63.6,187,5.6,84,3.24296647288897,
72803641,63.0,187,8.4,81,3.25384538886112,
91052873,63.4,187,5.6,83,3.28828210955271,
72153046,64.4,187,5.6,88,3.24071742076737,
61927503,60.8,187,5.6,72,3.17217319694556,
45068793,61.6,187,5.6,74,3.16138676373619,
86192507,62.6,187,5.6,79,3.17397062856951,
48270965,61.8,187,5.6,75,3.19922247378533,
85709634,62.4,187,5.6,78,3.15203055630485,
17596823,62.8,187,5.6,80,3.22391033387968,
20694735,62.0,187,8.4,76,3.22250793809867,
67381945,60.6,187,5.6,72,3.14331777359771,
31286905,63.8,187,0.0,75,3.08581564525125,
67239801,67.4,187,0.0,75,3.20789354927939,
49670328,66.2,187,0.0,75,3.12253577934671,
82139740,64.2,187,5.6,75,3.08299685422435,
12304586,67.0,187,0.0,75,3.06069238391156,
61932785,65.8,187,0.0,75,3.00221542501383,
38549061,68.2,187,0.0,75,3.14046106335648,
62897034,65.0,187,0.0,75,3.05696188860764,
76402381,64.2,187,0.0,73,2.90342595453035,
26408915,66.4,187,0.0,84,3.0486146557826,
93270846,65.8,187,2.8,81,3.12553051409065,
67851930,66.2,187,0.0,83,2.99653684201763,
79648230,67.2,187,0.0,88,3.0803913586933,
20519736,63.6,187,0.0,72,3.00518711379371,
16943087,64.4,187,0.0,74,2.92752089414929,
12458390,65.4,187,0.0,79,2.98905687821478,
84036972,64.6,187,0.0,75,3.03243867149541,
95267031,65.2,187,0.0,78,2.94803795352204,
71204863,65.6,187,0.0,80,3.06838496792865,
85320746,64.8,187,2.8,76,3.07205350317349,
38702645,63.4,187,0.0,72,2.90889450304788,
34982675,62.2,187,0.0,73,3.12297185218495,
35280617,64.4,187,0.0,84,3.23227403945678,
95308671,63.8,187,2.8,81,3.24167953752243,
82609473,64.2,187,0.0,83,3.20982753258482,
58319420,65.2,187,0.0,88,3.20999637074835,
70264158,61.6,187,0.0,72,3.17870259599048,
16094873,62.4,187,0.0,74,3.13391016669405,
27159836,63.4,187,0.0,79,3.1984500246978,
47812905,62.6,187,0.0,75,3.17963345727614,
52948361,63.2,187,0.0,78,3.18106722528721,
40568932,63.6,187,0.0,80,3.21930866924852,
43208516,62.8,187,2.8,76,3.20047471936011,
97428650,61.4,187,0.0,72,3.14904412472059,
20819547,70.0,187,0.0,84,3.05518839863654,
74920653,69.4,187,2.8,81,3.13724000934764,
72015384,69.8,187,0.0,83,3.02996260879473,
46752830,70.8,187,0.0,88,3.09493034005123,
50648317,69.0,187,0.0,79,3.06932204965063,
59806341,69.2,187,0.0,80,3.11036785922067,
47098521,47.8,187,0.0,73,3.16184903561525,
96302148,50.0,187,0.0,84,3.20080329953192,
39062841,49.4,187,2.8,81,3.25871853117245,
93481752,49.8,187,0.0,83,3.23058853620119,
18952376,50.8,187,0.0,88,3.28145948603816,
61487350,47.2,187,0.0,72,3.17586235789555,
40236598,48.0,187,0.0,74,3.17010682756151,
51398260,49.0,187,0.0,79,3.17499543298822,
12507849,48.2,187,0.0,75,3.20714969190368,
87196024,48.8,187,0.0,78,3.15526925670113,
41267093,49.2,187,0.0,80,3.2276143802808,
32156478,48.4,187,2.8,76,3.22606262078523,
59230168,47.0,187,0.0,72,3.15550052177581,
20456318,64.4,187,0.0,78,3.12155316957637,
58346072,68.0,187,0.0,78,3.19321656662027,
63175049,66.8,187,0.0,78,3.08864274905783,
94130527,64.8,187,5.6,78,3.12710187460913,
81437256,68.8,187,0.0,78,3.19653255039758,
12374650,65.6,187,0.0,78,3.01819724661823,
83764925,64.8,187,0.0,80,3.16389750689823,
10378294,68.4,187,0.0,80,3.25600608384291,
40596718,67.2,187,0.0,80,3.18108220913012,
31879054,65.2,187,5.6,80,3.16588305445151,
13658924,62.6,187,5.6,73,3.10349490890109,
89231046,64.8,187,5.6,84,3.22570626329838,
15780629,64.2,187,8.4,81,3.23362075709262,
60573841,64.6,187,5.6,83,3.19129185049816,
79631548,65.6,187,5.6,88,3.20839197860089,
18967543,62.0,187,5.6,72,3.15562916388105,
38960417,62.8,187,5.6,74,3.11707454876456,
94528706,63.8,187,5.6,79,3.19145103468703,
41085739,63.0,187,5.6,75,3.16406918925299,
74920568,63.6,187,5.6,78,3.17158759183931,
69578014,64.0,187,5.6,80,3.20773977971737,
56489170,63.2,187,8.4,76,3.186805202404,
13480652,61.8,187,5.6,72,3.1198928325903,
93507642,66.8,187,0.0,84,3.11185305871488,
32875906,66.2,187,2.8,81,3.15833156201074,
75684932,66.6,187,0.0,83,3.088290888724,
62941037,67.6,187,0.0,88,3.17122339225411,
23705914,65.8,187,0.0,79,3.06684220543351,
15860437,66.0,187,0.0,80,3.12607719978517,
30694825,60.6,187,0.0,73,3.01872553100713,
10392748,62.8,187,0.0,84,3.1008195075363,
43860715,62.2,187,2.8,81,3.15565844201571,
59481307,62.6,187,0.0,83,3.12628804660973,
43790281,63.6,187,0.0,88,3.11429859457047,
76415208,60.0,187,0.0,72,3.04626798413026,
97408251,60.8,187,0.0,74,3.02615597922597,
19743065,61.8,187,0.0,79,3.04092181563242,
82354971,61.0,187,0.0,75,3.08285492825236,
21064358,61.6,187,0.0,78,3.00862846634012,
34189275,62.0,187,0.0,80,3.11279818925237,
71248596,61.2,187,2.8,76,3.10795412479427,
92057831,59.8,187,0.0,72,3.00888892786411,
56920873,64.0,187,2.8,76,3.12049637477071,
39720486,67.6,187,2.8,76,3.21744176441217,
27845619,66.4,187,2.8,76,3.14594868573577,
23074169,64.4,187,8.4,76,3.10190958238324,
97183264,67.2,187,2.8,76,3.085647970125,
42368795,63.6,187,2.8,76,3.0469836187822,
42936180,66.0,187,2.8,76,3.04280964347778,
37068241,68.4,187,2.8,76,3.0850347551471,
50619347,65.2,187,2.8,76,3.10980447927148,
65349018,62.4,187,2.8,76,3.07863412515656,
94185602,64.0,187,0.0,84,3.07256301057253,
31254760,63.4,187,2.8,81,3.12368242134349,
65790324,63.8,187,0.0,83,3.0412429677755,
37049621,64.8,187,0.0,88,3.05518383743717,
56140738,61.2,187,0.0,72,3.02119059392525,
50836291,62.0,187,0.0,74,2.97521936034979,
79324150,63.0,187,0.0,79,3.01341474003694,
20419573,62.2,187,0.0,75,3.04207507672834,
62157849,62.8,187,0.0,78,2.99356528668852,
43065218,63.2,187,0.0,80,3.08290889377329,
61792438,61.0,187,0.0,72,2.97464373058425,
75149062,48.2,187,0.0,73,3.32817286324784,
52634817,50.4,187,0.0,84,3.38847617122789,
64021875,49.8,187,2.8,81,3.40482499435775,
43780952,50.2,187,0.0,83,3.48905633835891,
84135296,51.2,187,0.0,88,3.47386798060568,
32450971,47.6,187,0.0,72,3.3222598918753,
58642793,48.4,187,0.0,74,3.35031470695204,
43206985,49.4,187,0.0,79,3.35690193480352,
36509124,48.6,187,0.0,75,3.36104890083869,
81294637,49.2,187,0.0,78,3.34396017969954,
98526013,49.6,187,0.0,80,3.38086436971614,
50942871,48.8,187,2.8,76,3.37434944814288,
96138204,47.4,187,0.0,72,3.32716108973887,
83265941,62.6,187,0.0,72,3.06246299786788,
67905128,66.2,187,0.0,72,3.11264392221089,
56893071,65.0,187,0.0,72,3.03442911652675,
83197206,63.0,187,5.6,72,3.05565254910324,
81693024,65.8,187,0.0,72,2.95458980103477,
70843926,62.2,187,0.0,72,2.9257433467939,
16375284,64.6,187,0.0,72,2.92540161396332,
70251698,67.0,187,0.0,72,3.06032802941617,
24501987,63.8,187,0.0,72,3.00012633275589,
35842190,61.0,187,0.0,73,3.19217785870218,
81439706,63.2,187,0.0,84,3.27165995793051,
72150386,62.6,187,2.8,81,3.28052679046667,
87932541,63.0,187,0.0,83,3.31296733376454,
80163975,64.0,187,0.0,88,3.27892773813253,
65483790,60.4,187,0.0,72,3.20750565958183,
57129046,61.2,187,0.0,74,3.20012397976772,
64213980,62.2,187,0.0,79,3.20662322829403,
12086359,61.4,187,0.0,75,3.23982530253825,
45726190,62.0,187,0.0,78,3.18537701864587,
65374182,62.4,187,0.0,80,3.25419042259983,
63975401,61.6,187,2.8,76,3.25392531065028,
46879352,60.2,187,0.0,72,3.17822288300426,
