id,ElementProperty|MagpieData mean MendeleevNumber,GlobalSymmetryFeatures|spacegroup_num,ValenceOrbital|avg f valence electrons,ElementProperty|MagpieData maximum MendeleevNumber,LatticeConstants|a,ElementProperty|MagpieData range NsValence,ElementProperty|MagpieData maximum NdValence,AtomicOrbitals|gap_AO,YangSolidSolution|Yang delta,ElementProperty|MagpieData mode NUnfilled,LatticeConstants|c,ElementProperty|MagpieData maximum NUnfilled,ValenceOrbital|frac s valence electrons,AtomicOrbitals|LUMO_element,ElementProperty|MagpieData range NUnfilled,hull_distance
3740286,69.4,65,2.8,81,3.05283424907436,0,10,0.068933,0.263570544455797,2,13.9528327095671,5,0.185185185185185,82,3,
5146839,69.8,65,0.0,83,3.05251140526184,0,8,0.0,0.161428299141188,2,9.44383202517135,5,0.32258064516129,15,3,
4768210,70.8,65,0.0,88,3.11720793796411,0,8,0.050912,0.160727595430146,2,9.76409923941187,5,0.3125,28,3,
2043178,69.0,65,0.0,79,3.01571454867458,0,10,0.060882,0.158885978904878,2,10.3302305150898,5,0.25,32,3,
1487932,69.2,65,0.0,80,3.02281493758441,0,10,0.066314,0.21990216824065,2,13.6860300552367,5,0.25,50,3,
3215784,47.8,65,0.0,73,3.17192432609778,0,1,0.0,0.262924903061244,5,11.8339520680747,9,0.666666666666667,5,4,
8315042,50.0,65,0.0,84,3.11801769016852,0,10,0.0,0.271013549918708,5,12.8680243662369,9,0.37037037037037,5,6,
3627410,49.4,65,2.8,81,3.14633174810822,0,10,0.005228,0.285329741988027,5,15.0718958975775,9,0.25,5,5,
1743698,49.8,65,0.0,83,3.22580808073177,0,1,0.0,0.285289029116658,5,11.3633872112821,9,0.588235294117647,5,6,
4127693,50.8,65,0.0,88,3.16640485724968,0,1,0.0,0.283945535334322,5,12.5998449095668,9,0.555555555555556,5,7,
9354761,47.2,65,0.0,72,3.15671284081294,0,10,0.0,0.270037699039819,5,13.4123495844161,9,0.416666666666667,5,9,
8927605,48.0,65,0.0,74,3.15646240628787,0,10,0.0,0.26253183938881,5,11.832056664828,9,0.4,5,4,
4327501,49.0,65,0.0,79,3.18303321842763,0,10,0.013279,0.271865037327236,5,11.4329108469484,9,0.384615384615385,5,5,
7985463,48.2,65,0.0,75,3.22372459206992,0,10,0.0,0.268719638579442,5,12.8366199914179,9,0.4,5,4,
9182473,48.8,65,0.0,78,3.1595195258916,0,1,0.01669,0.275682924715776,5,10.9547540084698,9,0.625,5,5,
5891230,49.2,65,0.0,80,3.23970666308272,0,10,0.0078469999999999,0.268719638579442,5,11.9888062891133,9,0.384615384615385,5,5,
4960875,48.4,65,2.8,76,3.10619443870927,0,10,0.0,0.283191991556316,5,15.2370597173189,9,0.256410256410256,5,4,
1804532,47.0,65,0.0,72,3.15756859721586,0,10,0.0,0.262760287619724,5,11.9218295963688,9,0.416666666666667,5,9,
3250478,64.4,65,0.0,78,3.06888883058863,1,5,0.0,0.202578196402434,5,11.1531593224452,6,0.363636363636364,42,2,
2081546,68.0,65,0.0,78,3.03861111697859,1,8,0.0,0.178885438199983,3,11.3997164450187,5,0.285714285714286,45,2,
9546732,66.8,65,0.0,78,2.96037992298991,1,7,0.057082,0.185701388442046,4,12.6692456774685,5,0.307692307692308,14,1,
9180765,64.8,65,5.6,78,3.06967808317773,0,4,0.0,0.189097130479147,5,11.3051833794045,6,0.2,74,2,
8512390,68.8,65,0.0,78,2.9610985540118,0,8,0.057471,0.158331148245701,2,9.91320728633699,5,0.333333333333333,14,3,
4693502,65.6,65,0.0,78,3.01775519944448,0,5,0.0,0.192483463542617,5,11.6873653851258,5,0.416666666666667,43,1,
5831672,64.8,65,0.0,80,3.03743878015135,1,10,0.0,0.231602777926551,5,13.5986579017388,6,0.25,42,2,
7483150,68.4,65,0.0,80,3.06439072383707,1,10,0.0,0.224103641018935,3,14.5189044702684,5,0.210526315789474,45,2,
6807539,67.2,65,0.0,80,2.95781712894043,1,10,0.057541,0.225986928334126,4,14.3912904775197,5,0.222222222222222,44,1,
2498173,65.2,65,5.6,80,3.03758969409779,0,10,0.0,0.227010205999232,5,13.9665673531673,6,0.166666666666667,74,2,
5814072,62.6,65,5.6,73,3.08974610914309,0,3,0.0,0.224959401996074,5,11.850746553544,7,0.212765957446809,73,2,
4352098,64.8,65,5.6,84,3.13782033637664,0,10,0.0,0.21943403815018,5,11.9363005349994,7,0.169491525423729,73,4,
4306815,64.2,65,8.4,81,3.02216153157171,0,10,0.0,0.268231694971903,5,15.3872639328664,7,0.138888888888889,73,3,
6025847,64.6,65,5.6,83,3.10094215657419,0,3,0.0,0.230129272900225,5,11.6128407655918,7,0.204081632653061,73,4,
6083594,65.6,65,5.6,88,3.02198316560043,0,3,0.0,0.228970658178648,5,12.6574639191292,7,0.2,73,5,
5372069,62.0,65,5.6,72,3.02355653261222,0,10,0.0,0.242402175575985,5,13.8467378247308,7,0.178571428571429,73,7,
3514269,62.8,65,5.6,74,3.10155739835963,0,10,0.0,0.220290212623661,5,11.4962858900952,7,0.175438596491228,73,2,
3204167,63.8,65,5.6,79,3.11052994244192,0,10,0.0,0.219920534778184,5,11.7995387057758,7,0.172413793103448,73,3,
2869347,63.0,65,5.6,75,3.04070788522468,0,10,0.0,0.239789643170869,5,14.4229047903352,7,0.175438596491228,73,2,
1705239,63.6,65,5.6,78,3.15132944862996,0,3,0.0,0.222425579695966,5,11.1194104187591,7,0.208333333333333,73,3,
7160483,64.0,65,5.6,80,3.02111235659981,0,10,0.0,0.239789643170869,5,14.6143257094954,7,0.172413793103448,73,3,
9518642,63.2,65,8.4,76,3.01959216742056,0,10,0.0,0.264913467479686,5,14.9027824208853,7,0.140845070422535,73,2,
1320567,61.8,65,5.6,72,3.05178610001566,0,10,0.0,0.224167492537235,5,11.8144296176503,7,0.178571428571429,73,7,
4063285,66.8,65,0.0,84,3.02435749428063,0,10,0.0,0.1909393200764,5,12.6722742815315,5,0.285714285714286,43,2,
9583261,66.2,65,2.8,81,3.03703270366884,0,10,0.0,0.263665594855305,5,14.6384129699267,5,0.208333333333333,43,1,
3061874,66.6,65,0.0,83,2.98718745164788,0,5,0.0,0.198506822748453,5,11.8552908854982,5,0.4,43,2,
8643509,67.6,65,0.0,88,2.97674474604591,0,5,0.0085859999999999,0.197513870931583,5,12.2590747386825,5,0.384615384615385,16,3,
9267581,65.8,65,0.0,79,2.9991846056054,0,10,0.0,0.191113474478257,5,12.4262907795056,5,0.294117647058823,43,1,
6315928,66.0,65,0.0,80,3.00890893949842,0,10,0.0,0.228085323342676,5,13.5360317874928,5,0.294117647058823,43,1,
3741296,60.6,65,0.0,73,3.05310483649765,0,2,0.0,0.218749796067152,5,11.3191092446255,8,0.588235294117647,22,3,
4328571,62.8,65,0.0,84,3.11612437337534,0,10,0.0,0.209995949191285,5,11.4433449476319,8,0.344827586206897,22,5,
4935860,62.2,65,2.8,81,3.04690929691645,0,10,0.0,0.266295389153379,5,14.5483685926318,8,0.238095238095238,22,4,
5062718,62.6,65,0.0,83,3.09007746024155,0,2,0.0,0.219777902585687,5,10.7009536148899,8,0.526315789473684,22,5,
6135948,63.6,65,0.0,88,3.06326062318787,0,2,0.0,0.218667330678684,5,11.5370533701985,8,0.5,22,6,
1340285,60.0,65,0.0,72,3.0553004291131,0,10,0.0,0.238398392326702,5,12.6112188792431,8,0.384615384615385,22,8,
9731406,60.8,65,0.0,74,3.04558737228839,0,10,0.0,0.213107641729921,5,11.2379777373761,8,0.37037037037037,22,3,
9084235,61.8,65,0.0,79,3.03075917346377,0,10,0.0,0.210390650027185,5,11.0104838623611,8,0.357142857142857,22,4,
4309715,61.0,65,0.0,75,3.0778355101015,0,10,0.0,0.235519909704064,5,12.5303932850411,8,0.37037037037037,22,3,
2568307,61.6,65,0.0,78,3.01768487411264,0,2,0.0,0.212563245345417,5,10.5348082150776,8,0.555555555555556,22,4,
1098653,62.0,65,0.0,80,3.04407998169055,0,10,0.0,0.235519909704064,5,13.5056899024291,8,0.357142857142857,22,4,
2643098,61.2,65,2.8,76,3.04285134858965,0,10,0.0,0.262753528539836,5,13.7921633638007,8,0.24390243902439,22,3,
6594182,59.8,65,0.0,72,3.03501158581462,0,10,0.0,0.217817456702727,5,11.4357088931704,8,0.384615384615385,22,8,
5714096,64.0,65,2.8,76,3.03928043249833,1,10,0.0,0.260995184744858,5,14.3721818514269,6,0.177777777777778,42,1,
4857263,67.6,65,2.8,76,3.0824989689726,1,10,0.0,0.258645214868096,3,15.4142522418279,5,0.156862745098039,45,2,
5738926,66.4,65,2.8,76,2.97259759506919,1,10,0.0,0.25904940591323,4,14.8035542003254,5,0.163265306122449,44,1,
7190582,64.4,65,8.4,76,3.03378695508775,0,10,0.0,0.259334182314429,5,14.7050909955061,6,0.136986301369863,74,1,
2317805,67.2,65,2.8,76,2.97365134882352,0,10,0.0,0.259094811964668,3,14.126575507012,5,0.196078431372549,27,2,
1069425,63.6,65,2.8,76,2.94470711981451,1,10,0.0,0.258469753691621,5,13.2559202183518,6,0.177777777777778,5,1,
9576032,66.0,65,2.8,76,2.94054971974053,0,10,0.0,0.259094811964668,4,13.9621926900554,5,0.204081632653061,81,1,
7369148,68.4,65,2.8,76,3.02341850088118,0,10,0.0,0.258843582110896,2,14.3436130713422,5,0.188679245283019,28,3,
5178439,65.2,65,2.8,76,2.98904110810325,0,10,0.0,0.259672410290298,5,14.3281648655419,5,0.212765957446809,43,0,
5123968,62.4,65,2.8,76,2.96254297717166,0,10,0.0,0.25904940591323,5,13.5976012651883,7,0.232558139534884,23,2,
1302765,64.0,65,0.0,84,3.04309202321776,0,10,0.0,0.184561293402918,5,11.0523167310122,7,0.32258064516129,23,4,
3296450,63.4,65,2.8,81,2.98600483973482,0,10,0.0,0.263192564548187,5,14.3828743024859,7,0.227272727272727,23,3,
9381746,63.8,65,0.0,83,3.00385720571173,0,3,0.0,0.191249486918778,5,10.4813554243544,7,0.476190476190476,23,4,
5683192,64.8,65,0.0,88,2.98405628535468,0,3,0.0,0.190303673560119,5,11.1168076809707,7,0.454545454545454,23,5,
2158347,61.2,65,0.0,72,3.01310906342495,0,10,0.0,0.229617304492512,5,12.3450994649574,7,0.357142857142857,23,7,
3015264,62.0,65,0.0,74,3.01072954455492,0,10,0.0,0.194942090256101,5,11.0177627048537,7,0.344827586206897,23,2,
6530821,63.0,65,0.0,79,3.05232768733164,0,10,0.0,0.184648700679445,5,10.6527340883627,7,0.333333333333333,23,3,
8521307,62.2,65,0.0,75,3.00750782216411,0,10,0.0,0.225986928334126,5,12.5979428381837,7,0.344827586206897,23,2,
9461730,62.8,65,0.0,78,3.01270472723442,0,3,0.0,0.185701388442046,5,10.4053083595603,7,0.5,23,3,
6543129,63.2,65,0.0,80,2.98475243019327,0,10,0.0,0.225986928334126,5,12.9230978806806,7,0.333333333333333,23,3,
7130825,61.0,65,0.0,72,2.97672806725514,0,10,0.0,0.202199855056514,5,11.1181894356724,7,0.357142857142857,23,7,
