id,ElementProperty|MagpieData maximum MendeleevNumber,AtomicOrbitals|HOMO_character,BandCenter|band center,ElementProperty|MagpieData mode NsValence,ElementProperty|MagpieData avg_dev NValence,YangSolidSolution|Yang delta,AtomicOrbitals|gap_AO,ElementProperty|MagpieData mean MendeleevNumber,YangSolidSolution|Yang omega,ElementProperty|MagpieData range NUnfilled,hull_distance
6982735,72,3,-1.90954918117108,2,2.72,0.231522992329165,0.0,64.0,2.06073109354732,5,
2018563,84,1,-2.00081302256555,2,3.84,0.15612386257877,0.0,68.8,0.912495443200985,2,
6175483,81,1,-2.02761918073793,2,7.04,0.263891812849298,0.0,68.2,48.4170904406781,2,
1923504,83,2,-2.00264527199485,2,2.56,0.157618547511842,0.0,68.6,0.564627592175083,2,
5197243,88,2,-2.0693747606696,2,2.4,0.156956739165573,0.0,69.6,15121156.7045738,3,
3582067,79,1,-1.96858611764006,2,3.68,0.155709800070947,0.0,67.8,0.739503065292786,2,
6039182,78,1,-1.94655162779233,2,2.72,0.154906931004829,0.0,67.6,0.543722772862253,2,
7803256,80,1,-1.95869322418115,2,3.68,0.21943403815018,0.0,68.0,1.59644768098912,2,
7521463,84,2,-1.90364779844506,1,3.36,0.171830132537853,0.0,65.2,0.783332493686241,3,
9257083,81,2,-1.92915217262401,1,7.52,0.262909117334157,0.0,64.6,13.2334881682865,2,
7905641,83,2,-1.90539106858223,1,1.28,0.17649185829694,0.0,65.0,0.462891462909908,3,
9321840,88,2,-1.96887998172623,1,1.44,0.17565566424556,0.0,66.0,16566552.6189635,4,
2760143,72,2,-1.80914194597449,1,2.4,0.226472471692405,0.0,62.4,1.65309140826027,6,
9618250,74,2,-1.83413381225793,1,2.72,0.186658751975725,0.0,63.2,0.900036346364901,1,
9138254,79,2,-1.8729859245367,1,3.04,0.171719548408983,0.0,64.2,0.694840454357567,2,
7243896,75,2,-1.82801309569024,1,2.72,0.222451146254413,0.0,63.4,2.16655673147415,1,
4165230,78,2,-1.85202149277051,1,1.28,0.172044228070584,0.0,64.0,0.521142827599055,2,
3041965,80,2,-1.86357345838373,1,3.04,0.222451146254413,0.0,64.4,1.54147919594534,2,
7063891,84,1,-1.97935549718201,2,3.52,0.15612386257877,0.0,67.6,0.920913659046864,2,
9328467,81,3,-2.00587417530857,2,7.2,0.263891812849298,0.097071,67.0,6.9840729325782,1,
5196087,83,2,-1.98116809682986,2,2.08,0.157618547511842,0.0,67.4,0.520170442174738,2,
2673845,88,2,-2.04718195156934,2,2.08,0.156956739165573,0.0,68.4,15272011.1325319,3,
8054917,79,3,-1.94747420657564,2,3.36,0.155709800070947,0.097071,66.6,0.768185803792121,1,
5619803,78,3,-1.92567602347916,2,2.24,0.154906931004829,0.097071,66.4,0.543006904689055,1,
4267580,80,3,-1.93768740849402,2,3.36,0.21943403815018,0.097071,66.8,2.10281958769752,1,
4203176,74,3,-2.03783624528193,1,2.72,0.20609831249986,0.0,63.6,1.07548662473435,1,
4265083,74,1,-2.0823883275275,1,3.52,0.190716824855805,0.0,67.2,0.752564890434923,2,
6752138,74,3,-2.05284828543013,1,3.2,0.194942090256101,0.0,66.0,1.05629024231989,1,
5902371,74,3,-2.11131281204299,2,7.04,0.197110518441763,0.0,64.0,1.50914238620401,1,
3264017,74,1,-1.92775093149636,2,3.52,0.17740691724314,0.0,66.8,0.882739802081724,2,
7804269,74,3,-1.90707695342885,2,3.2,0.17740691724314,0.0,65.6,0.984513116618763,1,
2819470,74,1,-1.93999731493744,2,3.84,0.179141821333142,0.0,68.0,0.813099635026308,3,
3892147,74,3,-1.93592809406052,2,2.88,0.199312714776632,0.0,64.8,1.00079418896756,0,
5718692,79,3,-2.08100334796456,1,3.04,0.200781428195816,0.0,64.6,0.782094749031133,2,
9317254,79,1,-2.12649916860593,1,3.68,0.178179966487409,0.0,68.2,0.711337281252167,2,
8463201,79,3,-2.09633338534147,1,3.36,0.184648700679445,0.057541,67.0,0.909901311986833,1,
9450781,79,3,-2.1560363550478,2,7.2,0.187882263393752,0.0,65.0,1.04130589199063,2,
