id,ElementProperty|MagpieData maximum MendeleevNumber,AtomicOrbitals|HOMO_character,BandCenter|band center,ElementProperty|MagpieData mode NsValence,ElementProperty|MagpieData avg_dev NValence,YangSolidSolution|Yang delta,AtomicOrbitals|gap_AO,ElementProperty|MagpieData mean MendeleevNumber,YangSolidSolution|Yang omega,ElementProperty|MagpieData range NUnfilled,ElementProperty|MagpieData range Electronegativity,ElementProperty|MagpieData mean AtomicWeight,ValenceOrbital|avg d valence electrons,ElementProperty|MagpieData range MendeleevNumber,ValenceOrbital|frac f valence electrons,ElementProperty|MagpieData mean CovalentRadius,ElementProperty|MagpieData maximum Electronegativity,ValenceOrbital|frac s valence electrons,ElementProperty|MagpieData avg_dev Electronegativity,ElementProperty|MagpieData mean NUnfilled,ValenceOrbital|frac p valence electrons,ElementProperty|MagpieData maximum NValence,ElementProperty|MagpieData maximum NUnfilled,ValenceOrbital|frac d valence electrons,ElementProperty|MagpieData mean Electronegativity,ElementProperty|MagpieData minimum Electronegativity,ElementProperty|MagpieData minimum NUnfilled,ElementProperty|MagpieData mean NValence,ElementProperty|MagpieData avg_dev MendeleevNumber,ElementProperty|MagpieData avg_dev NUnfilled,hull_distance
2541903,88,3,-2.18754758380055,1,1.44,0.208181128439005,0.0,66.4,19078454.2565923,4,0.54,49.1214,2.0,38,0.0,116.2,2.58,0.333333333333333,0.1536,4.8,0.25,6,6,0.416666666666667,2.196,2.04,2,4.8,13.12,1.12,
6895471,81,3,-2.22069059041416,2,9.44,0.263402454957875,0.0,65.4,4.0907816652663,2,0.32,119.3004,3.6,30,0.567567567567568,127.6,2.36,0.135135135135135,0.1488,5.2,0.054054054054054,28,6,0.243243243243243,2.226,2.04,4,14.8,11.52,0.64,
4692830,83,2,-2.16329042847001,1,2.56,0.18391049142992,0.0,69.0,0.619117358097741,2,0.24,51.6813524,3.2,24,0.0,111.8,2.28,0.275862068965517,0.1008,3.8,0.172413793103448,9,5,0.551724137931034,2.166,2.04,3,5.8,8.0,0.96,
4976231,83,2,-2.13260273709127,1,2.08,0.191249486918778,0.0,67.8,0.718746967732753,2,0.16,50.9471524,2.8,27,0.0,113.4,2.2,0.296296296296296,0.0752,4.2,0.185185185185185,8,5,0.518518518518518,2.134,2.04,3,5.4,9.44,0.64,
1059674,83,3,-2.19333864746626,2,7.84,0.194888460581358,0.0,65.8,0.629539703883155,3,0.32,84.0551524,1.6,32,0.549019607843137,119.8,2.36,0.196078431372549,0.1296,5.0,0.0980392156862745,20,6,0.156862745098039,2.198,2.04,3,10.2,11.84,0.8,
3254689,81,1,-2.19026765629007,1,7.04,0.262937277792971,0.0,68.6,3.82563274073974,2,0.29,86.9266,5.2,22,0.269230769230769,119.6,2.33,0.153846153846154,0.1232,4.0,0.0769230769230769,28,5,0.5,2.194,2.04,3,10.4,7.68,0.8,
2096537,88,3,-2.23537272190732,1,2.4,0.183016696114988,0.0,70.0,16766522.4420708,3,0.54,51.8996,3.2,29,0.0,111.4,2.58,0.266666666666667,0.1632,3.6,0.2,9,5,0.533333333333333,2.244,2.04,2,6.0,8.8,1.12,
7819360,81,3,-2.15919727526842,1,7.2,0.263192564548187,0.057541,67.4,8.23075196761442,1,0.29,86.1924,4.8,25,0.28,121.2,2.33,0.16,0.0976,4.4,0.08,28,5,0.48,2.162,2.04,4,10.0,9.12,0.48,
5183609,88,3,-2.20366249599242,1,2.08,0.190303673560118,0.0,68.8,18064572.1710131,3,0.54,51.1654,2.8,32,0.0,113.0,2.58,0.285714285714286,0.1472,4.0,0.214285714285714,8,5,0.5,2.212,2.04,2,5.6,10.24,0.8,
6971305,88,3,-2.26642216778946,2,7.68,0.193918507395057,0.0,66.8,21881540.0226054,4,0.54,84.2734,1.6,37,0.538461538461538,119.4,2.58,0.192307692307692,0.1888,4.8,0.115384615384615,20,6,0.153846153846154,2.276,2.04,2,10.4,12.64,1.12,
2465970,72,3,-2.01006873420435,1,2.4,0.234756787323376,0.0,62.8,2.24994880303402,6,0.47,65.1906,4.0,22,0.0,124.0,2.16,0.266666666666667,0.1312,4.4,0.0666666666666666,12,6,0.666666666666667,2.018,1.69,0,6.0,10.24,1.76,
5749680,72,1,-2.05401375077419,1,3.36,0.2279288267092,0.0496039999999999,66.4,1.24474025026835,5,0.59,67.9688,5.2,13,0.0,119.2,2.28,0.222222222222222,0.1712,3.2,0.0555555555555555,12,5,0.722222222222222,2.066,1.69,0,7.2,5.92,1.44,
2487590,72,3,-2.02487622062942,1,3.04,0.229617304492512,0.006147,65.2,2.21462446786476,5,0.51,67.2346,4.8,16,0.0,120.8,2.2,0.235294117647059,0.1376,3.6,0.0588235294117647,12,5,0.705882352941177,2.034,1.69,0,6.8,7.36,1.44,
