id,ElementProperty|MagpieData maximum MendeleevNumber,AtomicOrbitals|HOMO_character,BandCenter|band center,ElementProperty|MagpieData mode NsValence,ElementProperty|MagpieData avg_dev NValence,hull_distance
8927605,74,2,-1.69357075391219,2,3.2,
4327501,79,2,-1.72944534530966,2,3.52,
7985463,75,2,-1.68791911252008,2,3.2,
9182473,78,2,-1.71008757093447,2,0.32,
5891230,80,2,-1.72075422512404,2,3.52,
4960875,76,2,-1.65642063920588,2,7.68,
1804532,72,2,-1.66251058529798,2,2.88,
3250478,78,3,-2.05771056603701,1,1.28,
2081546,78,1,-2.10269714952129,1,2.72,
9546732,78,3,-2.07286901348452,1,2.24,
9180765,78,3,-2.13190372465337,2,8.0,
8512390,78,1,-1.95891744602762,2,3.2,
4693502,78,3,-1.95480853942957,2,1.76,
5831672,80,3,-2.07054551519587,1,3.04,
7483150,80,1,-2.11581270204653,1,3.68,
6807539,80,3,-2.08579851330834,1,3.36,
2498173,80,3,-2.14520145290007,2,7.2,
5814072,73,3,-1.72049631113082,2,7.68,
4352098,84,3,-1.82801548087466,2,7.04,
4306815,81,3,-1.8525065610352,2,9.12,
6025847,83,3,-1.82968949053165,2,7.36,
6083594,88,3,-1.89065597613153,2,7.2,
5372069,72,3,-1.73726436531087,2,6.56,
3514269,74,3,-1.76126329961972,2,6.72,
3204167,79,3,-1.79857180950705,2,6.88,
2869347,75,3,-1.75538576037695,2,6.72,
1705239,78,3,-1.77844029891583,2,7.52,
7160483,80,3,-1.78953330256533,2,6.88,
9518642,76,3,-1.72262828336325,2,8.96,
1320567,72,3,-1.72896164648014,2,6.56,
4063285,84,3,-2.00930010099392,2,3.2,
9583261,81,3,-2.03621996592661,2,7.36,
3061874,83,3,-2.0111401224861,2,1.6,
8643509,88,3,-2.07815266529809,2,1.76,
9267581,79,3,-1.97693649550395,2,3.04,
6315928,80,3,-1.96700163822248,2,3.04,
3741296,73,3,-1.73870350863117,2,0.48,
4328571,84,3,-1.84736050281901,2,3.68,
4935860,81,3,-1.87211076048001,2,7.84,
5062718,83,3,-1.84905222772725,2,0.64,
6135948,88,3,-1.91066389276578,2,0.8,
1340285,72,3,-1.75564901118596,2,2.72,
9731406,74,3,-1.77990191484885,2,3.04,
9084235,79,3,-1.81760524302411,2,3.36,
4309715,75,3,-1.77396217639233,2,3.04,
2568307,78,3,-1.79726069019215,2,0.48,
1098653,80,3,-1.80847108584477,2,3.36,
2643098,76,3,-1.74085804251587,2,7.52,
6594182,72,3,-1.74725842861466,2,2.72,
5714096,76,3,-1.99313433360211,1,7.2,
4857263,76,1,-2.03670912277504,1,6.72,
5738926,76,3,-2.00781707011054,1,6.88,
7190582,76,3,-2.06499912070939,2,9.28,
2317805,76,1,-1.8854638477918,2,6.72,
1069425,76,2,-1.79390031073182,1,7.2,
9576032,76,1,-1.86524337345589,2,6.88,
7369148,76,1,-1.8974415949515,2,6.56,
5178439,76,3,-1.89346163637554,2,7.04,
5123968,76,3,-1.78086136275884,2,7.36,
1302765,84,3,-1.88981115186314,2,3.52,
3296450,81,3,-1.91513014773204,2,7.68,
9381746,83,3,-1.89154175105729,2,0.96,
5683192,88,3,-1.95456919561779,2,1.12,
2158347,72,3,-1.7959922143154,2,2.56,
3015264,74,3,-1.82080242744773,2,2.88,
6530821,79,3,-1.85937214350436,2,3.2,
8521307,75,3,-1.81472619925234,2,2.88,
9461730,78,3,-1.83856009151839,2,0.8,
6543129,80,3,-1.8500280917754,2,3.2,
7130825,72,3,-1.78740882385659,2,2.56,
6091584,73,2,-1.58402187368236,2,0.0,
5894621,84,2,-1.68301233103619,2,3.84,
3578406,81,2,-1.70556071224073,2,8.0,
9317528,83,2,-1.68455355370331,2,0.64,
5762910,88,2,-1.74068401218031,2,0.96,
3280951,72,2,-1.59945984029028,2,2.88,
2045968,74,2,-1.62155511398796,2,3.2,
8317509,79,2,-1.65590421160223,2,3.52,
5469827,75,2,-1.61614379711169,2,3.2,
6748193,78,1,-1.63736958707532,2,0.32,
4807153,80,2,-1.64758266356491,2,3.52,
9501276,76,2,-1.58598473209037,2,7.68,
7254913,72,2,-1.59181571565379,2,2.88,
7918026,72,3,-2.00046223109303,1,2.4,
3645207,72,1,-2.04419722601972,1,3.36,
2941375,72,3,-2.01519894970704,1,3.04,
2645180,72,3,-2.07259123410601,2,6.88,
8597263,72,1,-1.89239588722664,2,3.36,
4932856,72,2,-1.80049571043186,1,2.4,
2739650,72,3,-1.87210107090552,2,3.04,
4165972,72,1,-1.90441767140977,2,3.68,
6138297,72,3,-1.90042308023832,2,2.72,
9084715,73,3,-1.63967546627314,2,0.48,
2845369,84,3,-1.74214388985678,2,3.68,
5170386,81,3,-1.76548449397313,2,7.84,
2514308,83,3,-1.74373926239382,2,0.64,
5267094,88,3,-1.80184182852912,2,0.8,
6278590,72,3,-1.65565583593641,2,2.72,
5187042,74,3,-1.67852741290426,2,3.04,
3786905,79,3,-1.71408334403279,2,3.36,
6342708,75,3,-1.67292597288019,2,3.04,
8613947,78,3,-1.69489751736064,2,0.48,
3612974,80,3,-1.70546942374236,2,3.36,
1694783,76,3,-1.6417072884524,2,7.52,
6271834,72,3,-1.64774313988352,2,2.72,
