id,hull_distance
0,0.04932791399999914
1,0.33650006633333707
2,0.16306069999999373
3,0.1301192364999988
4,0.14114050133333667
5,0.1259729250384405
6,0.08111349680831559
7,0.31783959369696557
8,0.06612596485714306
9,0.1130646800000008
10,0.3626580215384614
11,0.28070245483333345
12,0.24083994899999794
13,0.05022941149999838
14,0.35101115399999916
15,0.041654542999998156
16,0.20616325449999806
17,0.5544791749999973
18,0.5131514887499993
19,0.37151835199999983
20,0.17873832325000194
21,0.311551326
22,0.43080115694196053
23,0.2825030753333335
24,0.38806581208333224
25,0.4143970424999974
26,0.19055362200000037
27,0.125022446
28,0.15658622333333394
29,0.30521769700000156
30,0.19650392400000083
31,0.2738429739999999
32,0.29241458341666604
33,0.20031999054545402
34,0.29421348484210696
35,0.4028561979999994
36,0.327383660571428
37,0.38529475400093105
38,0.21801511999999956
39,0.23938757083333417
40,0.2812307859999992
41,0.1638877110000001
42,0.49204970099999823
43,0.10712737699999941
44,0.23073618315483735
45,0.3502488589999979
46,0.16676444699999937
47,0.18705270099999893
48,0.31434248099999795
49,0.11211106733333231
50,0.31737926899999813
51,0.2568101226923085
52,0.4654601260000035
53,0.306714451714285
54,0.3625982911120005
55,0.2064950639999985
56,0.19131378792500264
57,0.28481208200000285
58,0.029105818483870394
59,0.25184921633333524
60,0.1449997578333342
61,0.16757032100000124
62,0.1461276527777775
63,0.1613672314499972
64,0.29208856783333204
65,0.03887606703030233
66,0.05633337999999988
67,0.3181672918333369
68,0.23463156508333416
69,0.22175520499999912
70,0.035841264900001946
71,0.1395541994999956
72,0.01894568600000035
73,0.14174316099999906
74,0.029203763999996468
75,0.05837398499999935
76,0.05822671333333673
77,0.06641354990000181
78,-0.027359561200000826
79,0.13655339399999455
80,0.030384319999999576
81,0.006921969999999611
82,0.10652777399999813
83,0.16185694000000073
84,0.1973107569444439
85,0.1332542555000007
86,0.31760075699999923
87,0.223035062000001
88,0.2703631460000002
89,0.30594583541666687
90,0.16203641854545392
91,0.06347034989090705
92,0.12133194759999899
93,0.38960234359999824
94,0.15655788999999842
95,0.24365248400000183
96,0.20787446359999784
97,0.10247830580000006
98,0.124585463599999
99,0.20462543959999913
100,0.12254847125000001
101,0.23422596959999886
102,0.3344431535999979
103,0.1698794245999986
104,0.04788399333332549
105,-0.019118286999997736
106,0.26497327999999953
107,-0.030946222000000745
108,0.07584130799999755
109,0.1874084519999979
110,0.02806202466666008
111,0.03320699866667809
112,0.10079035399999814
113,0.04201761833332718
114,0.11240731399999149
115,0.2005489419999975
116,0.15660375699999118
117,0.40237622621777724
118,0.42278760341666644
119,0.5095191896153839
120,0.5220823566866688
121,0.3646900595416662
122,0.3732070471354172
123,0.11306926399999817
124,0.23721414799999785
125,0.09448304500000138
126,0.2718663720000034
127,0.09413395200000085
128,0.12313524000000076
129,0.13318782900000237
130,0.12490227391666942
131,0.10526623600000118
132,0.18037820800000137
133,0.09409577999999996
134,0.03739232466666742
135,0.16712410200000072
136,0.036174705500002347
137,0.3937566635000005
138,0.27356921916666543
139,0.1603314475000026
140,0.37540570816666907
141,0.17725299549999818
142,0.17119604999999893
143,0.30216350386666857
144,0.18905099076190446
145,0.3563823629999998
146,0.07924030533332527
147,0.07012742149999873
148,0.4336775119999974
149,0.008002838571428583
150,0.18121376564000258
151,0.2637842959999981
152,0.09267942599998946
153,0.13212865799998852
154,0.21584970599999664
155,0.09420039733334562
156,0.26540744799998883
157,0.33097274599999693
158,0.21190805700000048
159,0.20401915051515207
160,0.35793757454545183
161,0.24161562534848535
162,0.3422487732727255
163,0.1015232745454524
164,0.16340631454545296
165,0.03658799599999618
166,0.1246251294999956
167,0.08693898900000097
168,0.13352985549999818
169,0.04756716599999944
170,0.09001395899999132
171,0.05288564399999984
172,0.05933235916666746
173,0.022806338000000537
174,0.10293637100000375
175,0.05423522549999937
176,0.0827904590000017
177,0.12283877449999903
178,0.299545010000001
179,0.2953124699999998
180,0.2513606173333338
181,0.4747303350000003
182,0.35913650000000086
183,0.44554771900000034
184,0.41750257400000024
185,0.4272806114166663
186,0.31964699254545437
187,0.37729131199999877
188,0.06844373999999753
189,0.44226586599999784
190,0.004621632999999292
191,0.11623077974998708
192,0.3249322659999967
193,0.12811552273171323
194,0.13273890600000282
195,0.26374840799999877
196,0.10917941866669079
197,0.27261359199999813
198,0.27516498099999875
199,0.1247694405000015
200,0.28499595800000144
201,0.1019267381428568
202,0.3129932540000011
203,0.07173200800000146
204,0.11402048600000114
205,0.1629137959999971
206,0.19516497290000068
207,0.10298600999999863
208,0.2323227841250013
209,0.14567530785293936
210,0.08020084799999783
211,0.14494908400000206
212,0.12608428500000013
213,0.16984685606666883
214,0.1657908593333337
215,0.21857499399999902
216,0.16152588300000037
217,0.27765575200000026
218,0.21265346299999965
219,0.30582804973127775
220,0.14479567246753433
221,0.04407976783333645
222,0.12627912549999643
223,-0.03550786400000039
224,0.12753205099999754
225,-0.08125602000001031
226,0.03220791280000057
227,0.07419503800000271
228,0.08016354850000074
229,0.006445696000001
230,0.1449229414999964
231,0.02482835933333405
232,-0.028475520000000643
233,0.1105719280000006
