id,ElementProperty|MagpieData minimum MendeleevNumber,ElementProperty|MagpieData maximum MendeleevNumber,ElementProperty|MagpieData range NfValence,ElementProperty|MagpieData mean Electronegativity,YangSolidSolution|Yang delta,ValenceOrbital|frac d valence electrons,ElementProperty|MagpieData avg_dev AtomicWeight,ElementProperty|MagpieData mean MendeleevNumber,ElementProperty|MagpieData range Electronegativity,ElementProperty|MagpieData mean CovalentRadius,ElementProperty|MagpieData avg_dev MendeleevNumber,ElementProperty|MagpieData maximum NdValence,ElementProperty|MagpieData range NUnfilled,ElementProperty|MagpieData mean NUnfilled,ElementProperty|MagpieData mean NdValence,ElementProperty|MagpieData avg_dev Electronegativity,ElementProperty|MagpieData avg_dev NValence,ElementProperty|MagpieData maximum NUnfilled,AtomicOrbitals|gap_AO,ElementProperty|MagpieData maximum CovalentRadius,ValenceOrbital|frac s valence electrons,ElementProperty|MagpieData range MendeleevNumber,ElementProperty|MagpieData maximum Electronegativity,ValenceOrbital|frac f valence electrons,ElementProperty|MagpieData minimum Electronegativity,ElementProperty|MagpieData maximum NValence,ElementProperty|MagpieData mean NdUnfilled,ElementProperty|MagpieData mode NUnfilled,ElementProperty|MagpieData maximum NdUnfilled,ElementProperty|MagpieData avg_dev NUnfilled,hull_distance
67435291,59,81,14,2.194,0.262937277792971,0.5,60.89248,68.6,0.29,119.6,7.68,10,2,4.0,5.2,0.1232,7.04,5,0.0,146,0.153846153846154,22,2.33,0.269230769230769,2.04,28,0.8,3,2,0.8,
51763480,59,88,0,2.244,0.183016696114988,0.533333333333333,40.80472,70.0,0.54,111.4,8.8,8,3,3.6,3.2,0.1632,2.4,5,0.0,142,0.266666666666667,29,2.58,0.0,2.04,9,0.8,3,2,1.12,
30975426,56,81,14,2.162,0.263192564548187,0.48,60.30512,67.4,0.29,121.2,9.12,10,1,4.4,4.8,0.0976,7.2,5,0.057541,146,0.16,25,2.33,0.28,2.04,28,1.2,4,3,0.48,
71403958,56,88,0,2.212,0.190303673560118,0.5,39.92368,68.8,0.54,113.0,10.24,7,3,4.0,2.8,0.1472,2.08,5,0.0,146,0.285714285714286,32,2.58,0.0,2.04,8,1.2,4,3,0.8,
35897402,51,88,14,2.276,0.193918507395057,0.153846153846154,79.65328,66.8,0.54,119.4,12.64,4,4,4.8,1.6,0.1888,7.68,6,0.0,162,0.192307692307692,37,2.58,0.538461538461538,2.04,20,2.4,5,6,1.12,
27156309,50,72,0,2.018,0.234756787323376,0.666666666666667,43.50368,62.8,0.47,124.0,10.24,10,6,4.4,4.0,0.1312,2.4,6,0.0,154,0.266666666666667,22,2.16,0.0,1.69,12,2.0,5,5,1.76,
39186520,59,72,0,2.066,0.2279288267092,0.722222222222222,45.72624,66.4,0.59,119.2,5.92,10,5,3.2,5.2,0.1712,3.36,5,0.0496039999999999,144,0.222222222222222,13,2.28,0.0,1.69,12,0.8,3,2,1.44,
19436725,56,72,0,2.034,0.229617304492512,0.705882352941177,45.13888,65.2,0.51,120.8,7.36,10,5,3.6,4.8,0.1376,3.04,5,0.006147,146,0.235294117647059,16,2.2,0.0,1.69,12,1.2,4,3,1.44,
10693257,51,72,14,2.098,0.230543921141055,0.310344827586207,71.62528,63.2,0.67,127.2,9.76,10,6,4.4,3.6,0.2096,6.88,6,0.0,162,0.172413793103448,21,2.36,0.482758620689655,1.69,20,2.4,5,6,1.76,
56124780,58,72,0,1.906,0.223945679042768,0.666666666666667,31.6551024,66.0,0.35,112.8,6.4,10,5,3.2,4.8,0.1072,3.36,5,0.0,144,0.277777777777778,14,2.04,0.0,1.69,12,1.2,3,3,1.44,
25976038,55,72,0,1.886,0.223945679042768,0.647058823529412,30.66688,64.8,0.35,115.2,7.84,10,5,3.6,4.4,0.1232,3.04,5,0.090821,144,0.294117647058823,17,2.04,0.0,1.69,12,1.6,4,4,1.44,
59387142,61,72,0,1.918,0.22431623524546,0.684210526315789,31.578368,67.2,0.35,112.0,4.96,10,5,2.8,5.2,0.0976,3.68,5,0.006536,144,0.263157894736842,11,2.04,0.0,1.69,12,0.8,2,2,1.76,
87563140,53,72,0,1.914,0.231522992329165,0.625,44.15648,64.0,0.35,121.2,8.8,10,5,4.0,4.0,0.1008,2.72,5,0.0,147,0.3125,19,2.04,0.0,1.69,12,2.0,5,5,1.6,
50987241,58,84,0,2.004,0.15612386257877,0.615384615384615,25.6567984,68.8,0.3,107.8,8.64,10,2,3.8,4.8,0.0992000000000001,3.84,5,0.0,126,0.256410256410256,26,2.18,0.0,1.88,15,1.2,3,3,0.96,
34012568,58,81,14,2.034,0.263891812849298,0.461538461538462,55.1449288,68.2,0.45,113.2,8.16,10,2,4.0,4.8,0.1232,7.04,5,0.0,146,0.192307692307692,23,2.33,0.269230769230769,1.88,28,1.2,3,3,0.8,
13085762,58,83,0,2.006,0.157618547511842,0.482758620689655,19.87261168,68.6,0.31,105.4,8.48,7,2,3.8,2.8,0.1008,2.56,5,0.0,126,0.344827586206897,25,2.19,0.0,1.88,9,1.2,3,3,0.96,
12904576,58,88,0,2.084,0.156956739165573,0.466666666666667,19.6980136,69.6,0.7,105.0,9.28,7,3,3.6,2.8,0.1984,2.4,5,0.0,126,0.333333333333333,30,2.58,0.0,1.88,9,1.2,3,3,1.12,
24035867,58,79,0,1.97,0.155709800070947,0.631578947368421,25.2917424,67.8,0.16,108.0,7.84,10,2,4.0,4.8,0.072,3.68,5,0.0,126,0.263157894736842,21,2.04,0.0,1.88,14,1.2,3,3,0.8,
40326571,58,78,0,1.948,0.154906931004829,0.5,20.3347336,67.6,0.16,106.2,7.68,7,2,4.0,2.8,0.0736,2.72,5,0.0,126,0.357142857142857,20,2.04,0.0,1.88,9,1.2,3,3,0.8,
16504783,58,80,0,1.96,0.21943403815018,0.631578947368421,32.6629424,68.0,0.16,111.8,8.0,10,2,4.0,4.8,0.0640000000000001,3.68,5,0.0,139,0.263157894736842,22,2.04,0.0,1.88,14,1.2,3,3,0.8,
58029641,49,84,0,1.916,0.171830132537853,0.606060606060606,23.436928,65.2,0.52,113.0,12.96,10,3,5.0,4.0,0.2048,3.36,6,0.0,139,0.242424242424242,35,2.18,0.0,1.66,15,2.0,5,5,0.8,
