id,AtomicOrbitals|HOMO_character,AtomicOrbitals|HOMO_element,AtomicOrbitals|HOMO_energy,AtomicOrbitals|LUMO_character,AtomicOrbitals|LUMO_element,AtomicOrbitals|LUMO_energy,AtomicOrbitals|gap_AO,BandCenter|band center,ElementProperty|MagpieData minimum MendeleevNumber,ElementProperty|MagpieData maximum MendeleevNumber,ElementProperty|MagpieData range MendeleevNumber,ElementProperty|MagpieData mean MendeleevNumber,ElementProperty|MagpieData avg_dev MendeleevNumber,ElementProperty|MagpieData mode MendeleevNumber,ElementProperty|MagpieData maximum AtomicWeight,ElementProperty|MagpieData range AtomicWeight,ElementProperty|MagpieData mean AtomicWeight,ElementProperty|MagpieData avg_dev AtomicWeight,ElementProperty|MagpieData maximum CovalentRadius,ElementProperty|MagpieData range CovalentRadius,ElementProperty|MagpieData mean CovalentRadius,ElementProperty|MagpieData avg_dev CovalentRadius,ElementProperty|MagpieData minimum Electronegativity,ElementProperty|MagpieData maximum Electronegativity,ElementProperty|MagpieData range Electronegativity,ElementProperty|MagpieData mean Electronegativity,ElementProperty|MagpieData avg_dev Electronegativity,ElementProperty|MagpieData mode Electronegativity,ElementProperty|MagpieData minimum NsValence,ElementProperty|MagpieData range NsValence,ElementProperty|MagpieData mean NsValence,ElementProperty|MagpieData avg_dev NsValence,ElementProperty|MagpieData mode NsValence,ElementProperty|MagpieData maximum NpValence,ElementProperty|MagpieData range NpValence,ElementProperty|MagpieData mean NpValence,ElementProperty|MagpieData avg_dev NpValence,ElementProperty|MagpieData maximum NdValence,ElementProperty|MagpieData range NdValence,ElementProperty|MagpieData mean NdValence,ElementProperty|MagpieData avg_dev NdValence,ElementProperty|MagpieData maximum NfValence,ElementProperty|MagpieData range NfValence,ElementProperty|MagpieData mean NfValence,ElementProperty|MagpieData avg_dev NfValence,ElementProperty|MagpieData maximum NValence,ElementProperty|MagpieData range NValence,ElementProperty|MagpieData mean NValence,ElementProperty|MagpieData avg_dev NValence,ElementProperty|MagpieData maximum NsUnfilled,ElementProperty|MagpieData range NsUnfilled,ElementProperty|MagpieData mean NsUnfilled,ElementProperty|MagpieData avg_dev NsUnfilled,ElementProperty|MagpieData mean NpUnfilled,ElementProperty|MagpieData avg_dev NpUnfilled,ElementProperty|MagpieData maximum NdUnfilled,ElementProperty|MagpieData range NdUnfilled,ElementProperty|MagpieData mean NdUnfilled,ElementProperty|MagpieData avg_dev NdUnfilled,ElementProperty|MagpieData minimum NUnfilled,ElementProperty|MagpieData maximum NUnfilled,ElementProperty|MagpieData range NUnfilled,ElementProperty|MagpieData mean NUnfilled,ElementProperty|MagpieData avg_dev NUnfilled,ElementProperty|MagpieData mode NUnfilled,ValenceOrbital|avg s valence electrons,ValenceOrbital|avg p valence electrons,ValenceOrbital|avg d valence electrons,ValenceOrbital|avg f valence electrons,ValenceOrbital|frac s valence electrons,ValenceOrbital|frac p valence electrons,ValenceOrbital|frac d valence electrons,ValenceOrbital|frac f valence electrons,YangSolidSolution|Yang omega,YangSolidSolution|Yang delta,hull_distance
39062841,0.5,1.0,0.9670045315123132,0.5,0.0,1.0,0.053857485757847344,0.7108950685357311,0.0,0.5625,0.8939393939393939,0.10084033613445373,0.9585798816568047,0.0,1.0,1.0,0.39350157118798074,0.5976780874922034,0.696969696969697,0.696969696969697,0.7687861271676301,0.6785714285714284,0.17073170731707332,0.5370370370370371,0.6829268292682926,0.30769230769230804,0.7481203007518799,0.17073170731707332,1.0,0.0,1.0,0.0,1.0,0.3333333333333333,0.3333333333333333,0.5,0.25,1.0,1.0,0.4166666666666667,0.6956521739130435,1.0,1.0,0.3333333333333333,0.6666666666666667,1.0,1.0,0.423728813559322,0.8474576271186441,0.0,0.0,0.0,0.0,0.7999999999999998,0.5000000000000008,1.0,1.0,1.0,1.0,0.8,1.0,0.5555555555555556,0.9473684210526316,0.7647058823529411,1.0,1.0,0.5,0.4166666666666667,0.3333333333333333,0.2161016949152543,0.21923076923076967,0.3391304347826088,0.5625000000000001,9.998856161828256e-09,0.7245020087244625,0.0944830450000013
93481752,0.5,0.0,1.0,0.5,0.0,1.0,0.0,0.7430464574426308,0.0,0.6875,0.9242424242424243,0.1176470588235293,0.9704142011834319,0.0,0.0,0.0,0.008716899302267715,0.00632167108038913,0.696969696969697,0.696969696969697,0.5433526011560691,0.683673469387755,0.17073170731707332,0.27777777777777757,0.5691056910569106,0.2646153846153849,0.6954887218045113,0.17073170731707332,1.0,0.0,1.0,0.0,1.0,0.6666666666666666,0.6666666666666666,0.75,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.08,0.033898305084745756,0.06779661016949154,0.0,0.0,0.0,0.0,0.6000000000000001,0.0,1.0,1.0,1.0,1.0,0.6000000000000001,1.0,0.6666666666666666,0.8947368421052632,0.8235294117647058,1.0,1.0,0.75,0.0,0.0,0.8524426719840472,0.8687782805429857,0.053708439897697614,0.0,1.1188977082447656e-09,0.72427584769584,0.2718663720000034
18952376,0.5,0.0,1.0,0.5,0.0,1.0,0.0,0.6571389703923697,0.0,1.0,1.0,0.1596638655462184,1.0,0.0,0.0,0.0,0.011099584539974625,0.00871011357848027,0.696969696969697,0.696969696969697,0.5317919075144505,0.693877551020408,0.17073170731707332,1.0,0.8861788617886177,0.3846153846153847,0.8421052631578948,0.17073170731707332,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.9999999999999999,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.12,0.05084745762711865,0.1016949152542373,0.0,0.0,0.0,0.0,0.3999999999999999,0.0,1.0,1.0,1.0,1.0,0.4,1.0,0.7777777777777777,0.8421052631578947,0.8823529411764705,1.0,1.0,0.9999999999999999,0.0,0.0,0.7909604519774016,1.0,0.04347826086956509,0.0,0.6984213993764257,0.7168127058062157,0.0941339520000008
61487350,0.5,0.0,1.0,0.5,0.0,1.0,0.0,0.8732821134739011,0.0,0.0,0.7575757575757576,0.008403361344537934,0.893491124260355,0.0,0.415762995320976,0.4157629953209758,0.1865326505702981,0.1845670769096966,0.696969696969697,0.696969696969697,0.7572254335260115,0.6683673469387753,0.17073170731707332,0.0,0.4471544715447155,0.11076923076923088,0.5150375939849625,0.17073170731707332,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.4166666666666667,0.6956521739130435,0.0,0.0,0.0,0.0,0.36,0.36,0.15254237288135591,0.3050847457627119,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.7368421052631579,1.0,1.0,1.0,0.0,0.4166666666666667,0.0,0.5296610169491529,0.1634615384615387,0.6521739130434784,0.0,8.959337573447144e-09,0.6395543239601404,0.1231352400000007
40236598,0.5,0.0,1.0,0.5,0.0,1.0,0.0,0.8394653677968127,0.0,0.125,0.7878787878787878,0.04201680672268908,0.9171597633136095,0.0,0.15265325415123912,0.1526532541512391,0.09332469096182411,0.09113389976730042,0.696969696969697,0.696969696969697,0.6300578034682078,0.6071428571428571,0.17073170731707332,0.0,0.4471544715447155,0.14769230769230784,0.5526315789473685,0.17073170731707332,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.24999999999999994,0.0,1.0,1.0,0.4166666666666667,0.6956521739130435,0.0,0.0,0.0,0.0,0.4,0.4,0.1694915254237288,0.33898305084745767,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4444444444444444,0.9999999999999999,0.7058823529411764,1.0,1.0,0.24999999999999994,0.4166666666666667,0.0,0.4983050847457626,0.28615384615384665,0.6208695652173915,0.0,6.5871423560652915e-09,0.597859084044935,0.1331878290000023
51398260,0.5,0.35064935064935066,0.9161922673970944,0.5,0.0,1.0,0.13679677761638284,0.786894183834457,0.0,0.4375,0.8636363636363636,0.08403361344537816,0.9467455621301775,0.0,0.17063233761713406,0.17063233761713403,0.09969387242213897,0.09751847102208797,0.696969696969697,0.696969696969697,0.6184971098265892,0.6173469387755102,0.17073170731707332,0.0,0.4471544715447155,0.20923076923076947,0.6278195488721805,0.17073170731707332,1.0,0.0,1.0,0.0,1.0,0.3333333333333333,0.3333333333333333,0.5,0.25,1.0,1.0,0.4166666666666667,0.6956521739130435,0.0,0.0,0.0,0.0,0.44,0.44,0.1864406779661017,0.37288135593220345,0.0,0.0,0.0,0.0,0.7999999999999998,0.5000000000000008,1.0,1.0,1.0,1.0,0.8,1.0,0.5555555555555556,0.9473684210526316,0.7647058823529411,1.0,1.0,0.5,0.4166666666666667,0.0,0.4693611473272496,0.39940828402366974,0.591973244147158,0.0,4.638534635247082e-09,0.649705234294555,0.1249022739166694
12507849,0.5,0.0,1.0,0.5,0.0,1.0,0.0,0.8477473709567102,0.0,0.1875,0.8030303030303031,0.05042016806722702,0.9230769230769231,0.0,0.4305986668679108,0.43059866686791076,0.19178826242322158,0.1932766739441878,0.696969696969697,0.696969696969697,0.7456647398843927,0.6581632653061222,0.17073170731707332,0.0,0.4471544715447155,0.1384615384615386,0.5413533834586467,0.17073170731707332,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.24999999999999994,0.0,1.0,1.0,0.4166666666666667,0.6956521739130435,0.0,0.0,0.0,0.0,0.4,0.4,0.1694915254237288,0.33898305084745767,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4444444444444444,0.9999999999999999,0.7058823529411764,1.0,1.0,0.24999999999999994,0.4166666666666667,0.0,0.4983050847457626,0.28615384615384665,0.6208695652173915,0.0,9.342584807454639e-09,0.6322324648162944,0.1052662360000011
87196024,0.5,0.1168831168831169,0.89466442825947,0.5,0.0,1.0,0.1719360056041454,0.8152613673517488,0.0,0.375,0.8484848484848485,0.07563025210084022,0.9408284023668638,0.0,0.0,0.0,0.002410466397594522,0.0,0.696969696969697,0.696969696969697,0.5664739884393061,0.6632653061224488,0.17073170731707332,0.0,0.4471544715447155,0.17538461538461558,0.5864661654135339,0.17073170731707332,1.0,0.0,1.0,0.0,1.0,0.3333333333333333,0.3333333333333333,0.5,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.016949152542372895,0.03389830508474577,0.0,0.0,0.0,0.0,0.7999999999999998,0.5000000000000008,1.0,1.0,1.0,1.0,0.8,1.0,0.5555555555555556,0.9473684210526316,0.7647058823529411,1.0,1.0,0.5,0.0,0.0,0.9216101694915249,0.721153846153847,0.0652173913043479,0.0,4.033834673516734e-09,0.6709136951552657,0.1803782080000013
41267093,0.5,0.5844155844155845,0.9504752407760373,0.5,0.0,1.0,0.0808377373262859,0.7996302864719744,0.0,0.5,0.8787878787878788,0.0924369747899161,0.9526627218934911,0.0,0.45458721429652343,0.4545872142965234,0.2002863269564904,0.2103138706007754,0.696969696969697,0.696969696969697,0.7283236994219652,0.6428571428571427,0.17073170731707332,0.0,0.4471544715447155,0.19384615384615406,0.6090225563909775,0.17073170731707332,1.0,0.0,1.0,0.0,1.0,0.3333333333333333,0.3333333333333333,0.5,0.25,1.0,1.0,0.4166666666666667,0.6956521739130435,0.0,0.0,0.0,0.0,0.44,0.44,0.1864406779661017,0.37288135593220345,0.0,0.0,0.0,0.0,0.7999999999999998,0.5000000000000008,1.0,1.0,1.0,1.0,0.8,1.0,0.5555555555555556,0.9473684210526316,0.7647058823529411,1.0,1.0,0.5,0.4166666666666667,0.0,0.4693611473272496,0.39940828402366974,0.591973244147158,0.0,7.512278025348484e-09,0.6322324648162944,0.0940957799999999
32156478,0.5,0.0,1.0,0.5,0.0,1.0,0.0,0.8939057234460139,0.0,0.25,0.8181818181818182,0.05882352941176465,0.9289940828402368,0.0,0.9826391208781674,0.9826391208781673,0.38735139175045286,0.5853480073733415,0.696969696969697,0.696969696969697,0.7630057803468203,0.6734693877551019,0.17073170731707332,0.0,0.4471544715447155,0.08923076923076932,0.5413533834586467,0.17073170731707332,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.24999999999999994,0.0,1.0,1.0,0.4166666666666667,0.6956521739130435,1.0,1.0,0.3333333333333333,0.6666666666666667,0.96,0.96,0.4067796610169491,0.8135593220338984,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4444444444444444,0.9999999999999999,0.7058823529411764,1.0,1.0,0.24999999999999994,0.4166666666666667,0.3333333333333333,0.2281616688396342,0.14201183431952688,0.35117056856187345,0.5769230769230771,1.1456205286203952e-08,0.7126267510893105,0.0373923246666674
