id,AtomicOrbitals|HOMO_character,AtomicOrbitals|HOMO_element,AtomicOrbitals|HOMO_energy,AtomicOrbitals|LUMO_character,AtomicOrbitals|LUMO_element,AtomicOrbitals|LUMO_energy,AtomicOrbitals|gap_AO,BandCenter|band center,ElementProperty|MagpieData minimum MendeleevNumber,ElementProperty|MagpieData maximum MendeleevNumber,ElementProperty|MagpieData range MendeleevNumber,ElementProperty|MagpieData mean MendeleevNumber,ElementProperty|MagpieData avg_dev MendeleevNumber,ElementProperty|MagpieData mode MendeleevNumber,ElementProperty|MagpieData maximum AtomicWeight,ElementProperty|MagpieData range AtomicWeight,ElementProperty|MagpieData mean AtomicWeight,ElementProperty|MagpieData avg_dev AtomicWeight,ElementProperty|MagpieData maximum CovalentRadius,ElementProperty|MagpieData range CovalentRadius,ElementProperty|MagpieData mean CovalentRadius,ElementProperty|MagpieData avg_dev CovalentRadius,ElementProperty|MagpieData minimum Electronegativity,ElementProperty|MagpieData maximum Electronegativity,ElementProperty|MagpieData range Electronegativity,ElementProperty|MagpieData mean Electronegativity,ElementProperty|MagpieData avg_dev Electronegativity,ElementProperty|MagpieData mode Electronegativity,ElementProperty|MagpieData minimum NsValence,ElementProperty|MagpieData range NsValence,ElementProperty|MagpieData mean NsValence,ElementProperty|MagpieData avg_dev NsValence,ElementProperty|MagpieData mode NsValence,ElementProperty|MagpieData maximum NpValence,ElementProperty|MagpieData range NpValence,ElementProperty|MagpieData mean NpValence,ElementProperty|MagpieData avg_dev NpValence,ElementProperty|MagpieData maximum NdValence,ElementProperty|MagpieData range NdValence,ElementProperty|MagpieData mean NdValence,ElementProperty|MagpieData avg_dev NdValence,ElementProperty|MagpieData maximum NfValence,ElementProperty|MagpieData range NfValence,ElementProperty|MagpieData mean NfValence,ElementProperty|MagpieData avg_dev NfValence,ElementProperty|MagpieData maximum NValence,ElementProperty|MagpieData range NValence,ElementProperty|MagpieData mean NValence,ElementProperty|MagpieData avg_dev NValence,ElementProperty|MagpieData maximum NsUnfilled,ElementProperty|MagpieData range NsUnfilled,ElementProperty|MagpieData mean NsUnfilled,ElementProperty|MagpieData avg_dev NsUnfilled,ElementProperty|MagpieData mean NpUnfilled,ElementProperty|MagpieData avg_dev NpUnfilled,ElementProperty|MagpieData maximum NdUnfilled,ElementProperty|MagpieData range NdUnfilled,ElementProperty|MagpieData mean NdUnfilled,ElementProperty|MagpieData avg_dev NdUnfilled,ElementProperty|MagpieData minimum NUnfilled,ElementProperty|MagpieData maximum NUnfilled,ElementProperty|MagpieData range NUnfilled,ElementProperty|MagpieData mean NUnfilled,ElementProperty|MagpieData avg_dev NUnfilled,ElementProperty|MagpieData mode NUnfilled,ValenceOrbital|avg s valence electrons,ValenceOrbital|avg p valence electrons,ValenceOrbital|avg d valence electrons,ValenceOrbital|avg f valence electrons,ValenceOrbital|frac s valence electrons,ValenceOrbital|frac p valence electrons,ValenceOrbital|frac d valence electrons,ValenceOrbital|frac f valence electrons,YangSolidSolution|Yang omega,YangSolidSolution|Yang delta,EwaldEnergy|ewald_energy_per_atom,StructuralHeterogeneity|mean absolute deviation in relative bond length,StructuralHeterogeneity|max relative bond length,StructuralHeterogeneity|min relative bond length,StructuralHeterogeneity|minimum neighbor distance variation,StructuralHeterogeneity|maximum neighbor distance variation,StructuralHeterogeneity|range neighbor distance variation,StructuralHeterogeneity|mean neighbor distance variation,StructuralHeterogeneity|avg_dev neighbor distance variation,StructuralHeterogeneity|mean absolute deviation in relative cell size,MaximumPackingEfficiency|max packing efficiency,ChemicalOrdering|mean ordering parameter shell 1,ChemicalOrdering|mean ordering parameter shell 2,ChemicalOrdering|mean ordering parameter shell 3,LatticeConstants|a,LatticeConstants|b,LatticeConstants|c,GlobalSymmetryFeatures|spacegroup_num,GlobalSymmetryFeatures|crystal_system_int,DensityFeatures|density,DensityFeatures|vpa,DensityFeatures|packing fraction,hull_distance
67851930,1.0,0.25974025974025977,0.17992880855307175,1.0,0.25974025974025977,0.17992880855307175,0.0,0.6045960622730882,0.8200000000000001,0.6875,0.30303030303030304,0.8067226890756304,0.24260355029585798,0.8200000000000001,0.06152540362518483,0.06152540362518482,0.05230827156006454,0.05833893557391086,0.2272727272727273,0.2272727272727273,0.18497109826589567,0.20918367346938768,0.402439024390244,0.27777777777777757,0.4146341463414634,0.38153846153846194,0.481203007518797,0.402439024390244,1.0,0.0,1.0,0.0,1.0,0.6666666666666666,0.6666666666666666,0.75,0.5,0.4444444444444444,0.4444444444444444,0.33333333333333337,0.5217391304347826,0.0,0.0,0.0,0.0,0.16,0.16,0.1694915254237288,0.16949152542372883,0.0,0.0,0.0,0.0,0.6000000000000001,0.0,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.6000000000000001,0.0,0.2222222222222222,0.4736842105263157,0.23529411764705882,1.0,1.0,0.75,0.33333333333333337,0.0,0.4983050847457626,0.5538461538461547,0.4956521739130436,0.0,8.036811454193655e-09,0.16111551062065987,0.08195232128590023,0.3782199266979167,0.3862134260758519,0.6136306400806282,0.7934381289326771,0.17705355154876865,0.1787355859346212,0.3204744422533973,0.14415239021113246,0.3810445384935487,0.7928761069646861,0.8798026386120079,0.4229998874786505,0.4277477520212517,0.1916444678016809,0.48118760120350534,0.006969140119447069,1.0,0.0,0.22770296691205275,0.05600693724932502,0.4053161214171112,0.1565578899999984
79648230,1.0,0.25974025974025977,0.17992880855307175,0.5,0.14285714285714288,0.21062696439165385,0.050107653161087236,0.5140753148488421,0.8200000000000001,1.0,0.3787878787878788,0.8487394957983195,0.27218934911242604,0.8200000000000001,0.06152540362518483,0.06152540362518482,0.05469095679777141,0.05595049307581974,0.2272727272727273,0.2272727272727273,0.17341040462427743,0.21938775510204075,0.402439024390244,1.0,0.7317073170731707,0.5015384615384617,0.6278195488721805,0.402439024390244,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.9999999999999999,1.0,0.4444444444444444,0.4444444444444444,0.33333333333333337,0.5217391304347826,0.0,0.0,0.0,0.0,0.16,0.16,0.1864406779661017,0.18644067796610173,0.0,0.0,0.0,0.0,0.3999999999999999,0.0,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.4,0.0,0.3333333333333333,0.4210526315789475,0.3529411764705882,1.0,1.0,0.9999999999999999,0.33333333333333337,0.0,0.4693611473272496,0.6568047337278123,0.4715719063545158,0.0,0.6511243833296636,0.15615045507420205,0.25516695837061465,0.3069759266444513,0.4271180928321991,0.66900228004769,0.7736700024158873,0.10820385210640886,0.1333096247993311,0.2345659890179845,0.11129514730625976,0.32726358716172693,0.8030708400401481,0.9595601241014586,0.6078530552260123,0.467594300242288,0.32927203982296077,0.45551125786976354,0.013245463627250582,1.0,0.0,0.21838365533982967,0.07864138319025071,0.3713587694480821,0.2436524840000018
20519736,1.0,0.25974025974025977,0.17992880855307175,1.0,0.25974025974025977,0.17992880855307175,0.0,0.7418254159654428,0.8200000000000001,0.0,0.13636363636363635,0.6974789915966387,0.16568047337278105,0.8200000000000001,0.415762995320976,0.4157629953209758,0.23012402282809488,0.2282637785986002,0.30303030303030304,0.30303030303030304,0.39884393063583795,0.3520408163265305,0.402439024390244,0.0,0.2926829268292683,0.22769230769230794,0.37218045112781956,0.402439024390244,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.75,0.7391304347826088,0.0,0.0,0.0,0.0,0.36,0.36,0.288135593220339,0.28813559322033905,0.0,0.0,0.0,0.0,0.0,1.0,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.0,0.0,0.5555555555555556,0.31578947368421056,0.5882352941176471,1.0,1.0,0.0,0.75,0.0,0.33368644067796605,0.09375000000000029,0.8478260869565221,0.0,3.3945957529795704e-08,0.40563847474120557,0.814942955574723,0.889838287066226,0.8512487749723832,0.11530280009388334,0.22130063088761567,0.3577807242880731,0.5687200087822305,0.481743262793366,0.3305280246370533,0.9014453093450835,0.8192868853073771,0.7111017735312943,0.5749773473710261,0.8474709191096808,0.20584186525935982,0.675322491464255,0.007616594990149499,1.0,0.0,0.3386345900891408,0.2546355818164761,0.5426022461254331,0.2078744635999978
16943087,1.0,0.25974025974025977,0.17992880855307175,1.0,0.25974025974025977,0.17992880855307175,0.0,0.7061926998977913,0.8200000000000001,0.125,0.16666666666666669,0.7310924369747902,0.18934911242603553,0.8200000000000001,0.15265325415123912,0.1526532541512391,0.13691606321962088,0.13483060145620404,0.2272727272727273,0.2272727272727273,0.2716763005780344,0.23979591836734687,0.402439024390244,0.0,0.2926829268292683,0.2646153846153849,0.3383458646616541,0.402439024390244,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.24999999999999994,0.0,1.0,1.0,0.75,0.7391304347826088,0.0,0.0,0.0,0.0,0.4,0.4,0.30508474576271183,0.3050847457627119,0.0,0.0,0.0,0.0,1.0,1.0,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,1.0,0.0,0.0,0.5789473684210527,0.0,1.0,1.0,0.24999999999999994,0.75,0.0,0.31587057010785813,0.18881118881118916,0.8181818181818183,0.0,1.9724847572434584e-08,0.19892486468938486,0.8282932143498383,0.7024037303733977,0.6391671033260914,0.3070678264497065,0.6470220646703815,0.1792487419966463,0.24398210432684295,0.47358095744838397,0.1585624458973408,0.6885839193027966,0.7682279001397169,0.7490555220399883,0.40787539395465333,0.6382523136370376,0.07837093511166625,0.5867118828622604,0.001803452259879563,1.0,0.0,0.306669223780995,0.11611813766257532,0.5137359516004176,0.1024783058
12458390,1.0,0.25974025974025977,0.17992880855307175,1.0,0.25974025974025977,0.17992880855307175,0.0,0.6507984260265711,0.8200000000000001,0.4375,0.24242424242424243,0.7731092436974792,0.21893491124260359,0.8200000000000001,0.17063233761713406,0.17063233761713403,0.14328524467993575,0.14121517271099154,0.2272727272727273,0.2272727272727273,0.2601156069364161,0.2295918367346938,0.402439024390244,0.0,0.2926829268292683,0.3261538461538465,0.4135338345864662,0.402439024390244,1.0,0.0,1.0,0.0,1.0,0.3333333333333333,0.3333333333333333,0.5,0.25,1.0,1.0,0.75,0.7391304347826088,0.0,0.0,0.0,0.0,0.44,0.44,0.3220338983050847,0.3220338983050848,0.0,0.0,0.0,0.0,0.7999999999999998,0.5000000000000008,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.8,0.0,0.1111111111111111,0.5263157894736842,0.11764705882352941,1.0,1.0,0.5,0.75,0.0,0.2991026919242263,0.2782805429864244,0.7902813299232738,0.0,1.4710896539643533e-08,0.12928229984566963,0.8094716388467094,0.5783002101180206,0.5542587989571495,0.42454517607313835,0.8567644256195863,0.1731769634649314,0.1482199407580848,0.432263391274287,0.0814016246317662,0.5688382591911875,0.7596565439002877,0.8195131826787785,0.3488609013825163,0.506381453827581,0.1793678570977521,0.5533257951614904,0.0064092825277504255,1.0,0.0,0.31085711921777653,0.12281733452578474,0.46394345620383975,0.124585463599999
84036972,1.0,0.25974025974025977,0.17992880855307175,1.0,0.25974025974025977,0.17992880855307175,0.0,0.7149194493575378,0.8200000000000001,0.1875,0.18181818181818182,0.7394957983193275,0.19526627218934914,0.8200000000000001,0.4305986668679108,0.43059866686791076,0.23537963468101836,0.23353208953801521,0.2727272727272727,0.2727272727272727,0.3872832369942193,0.34183673469387743,0.402439024390244,0.0,0.2926829268292683,0.25538461538461565,0.3383458646616541,0.402439024390244,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.24999999999999994,0.0,1.0,1.0,0.75,0.7391304347826088,0.0,0.0,0.0,0.0,0.4,0.4,0.30508474576271183,0.3050847457627119,0.0,0.0,0.0,0.0,1.0,1.0,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,1.0,0.0,0.0,0.5789473684210527,0.0,1.0,1.0,0.24999999999999994,0.75,0.0,0.31587057010785813,0.18881118881118916,0.8181818181818183,0.0,3.892892305495766e-08,0.38438947163010034,0.8041644775856933,0.8310532372893127,0.8238608518557115,0.1737340815677583,0.3650089428464381,0.3251658352930119,0.4807884271232003,0.4763957476415908,0.2878825073983929,0.8391865884660874,0.7878222048694017,0.7780116570760872,0.5252445092486397,0.7760755125843372,0.25056892194002883,0.652143449416953,0.009656313451959747,1.0,0.0,0.3469499158260636,0.25062237675681615,0.5481691765072414,0.2046254395999991
95267031,1.0,0.25974025974025977,0.17992880855307175,1.0,0.25974025974025977,0.17992880855307175,0.0,0.6806889366499866,0.8200000000000001,0.375,0.2272727272727273,0.7647058823529413,0.21301775147928997,0.8200000000000001,0.06152540362518483,0.06152540362518482,0.04600183865539131,0.06466060665430001,0.2272727272727273,0.2272727272727273,0.20809248554913298,0.18877551020408154,0.402439024390244,0.0,0.2926829268292683,0.2923076923076926,0.37218045112781956,0.402439024390244,1.0,0.0,1.0,0.0,1.0,0.3333333333333333,0.3333333333333333,0.5,0.25,0.4444444444444444,0.4444444444444444,0.33333333333333337,0.5217391304347826,0.0,0.0,0.0,0.0,0.16,0.16,0.15254237288135591,0.18644067796610173,0.0,0.0,0.0,0.0,0.7999999999999998,0.5000000000000008,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.8,0.0,0.1111111111111111,0.5263157894736842,0.11764705882352941,1.0,1.0,0.5,0.33333333333333337,0.0,0.5296610169491529,0.4423076923076941,0.5217391304347833,0.0,1.055543430344691e-08,0.13320121302508273,0.7213023663823508,0.5198859845123993,0.45688943935355586,0.4858334271733651,0.9299159237513649,0.2164828884542624,0.15044935868102752,0.41723742451005325,0.15001922549757504,0.5007384616903885,0.7781515734527242,0.8184916666210551,0.3054931585930843,0.44695121005231425,0.11204488826805334,0.5316998045650014,0.003339107325983344,1.0,0.0,0.2076717682055765,0.0764521692300036,0.4308786169058294,0.12254847125
71204863,1.0,0.25974025974025977,0.17992880855307175,1.0,0.25974025974025977,0.17992880855307175,0.0,0.6642184615741712,0.8200000000000001,0.5,0.25757575757575757,0.7815126050420166,0.2248520710059172,0.8200000000000001,0.45458721429652343,0.4545872142965234,0.24387769921428717,0.24205068786630904,0.2272727272727273,0.2272727272727273,0.3699421965317917,0.3265306122448978,0.402439024390244,0.0,0.2926829268292683,0.31076923076923113,0.39473684210526316,0.402439024390244,1.0,0.0,1.0,0.0,1.0,0.3333333333333333,0.3333333333333333,0.5,0.25,1.0,1.0,0.75,0.7391304347826088,0.0,0.0,0.0,0.0,0.44,0.44,0.3220338983050847,0.3220338983050848,0.0,0.0,0.0,0.0,0.7999999999999998,0.5000000000000008,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.8,0.0,0.1111111111111111,0.5263157894736842,0.11764705882352941,1.0,1.0,0.5,0.75,0.0,0.2991026919242263,0.2782805429864244,0.7902813299232738,0.0,3.031116835724619e-08,0.38438947163010034,0.7908864278923012,0.7461112760297421,0.7794719307206875,0.25388981413918954,0.5504368832110325,0.2705469070303257,0.3574971955138931,0.4615176297574221,0.21978598066479577,0.7524978003849566,0.758847709635658,0.8502635839367167,0.4865731042225971,0.6808924424847238,0.30956635818307204,0.6216808297129779,0.012346813086862118,1.0,0.0,0.3603623361794493,0.24441291878909607,0.46017099235044434,0.2342259695999988
85320746,1.0,0.25974025974025977,0.17992880855307175,1.0,0.25974025974025977,0.17992880855307175,0.0,0.7635565205916266,0.8200000000000001,0.25,0.19696969696969696,0.7478991596638654,0.20118343195266275,0.8200000000000001,0.9826391208781674,0.9826391208781673,0.43094276400824966,0.5634996565288897,0.3181818181818182,0.3181818181818182,0.4046242774566473,0.35714285714285704,0.402439024390244,0.0,0.2926829268292683,0.20615384615384638,0.3984962406015038,0.402439024390244,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.24999999999999994,0.0,1.0,1.0,0.75,0.7391304347826088,1.0,1.0,0.3333333333333333,0.6666666666666667,0.96,0.96,0.5423728813559322,0.7457627118644069,0.0,0.0,0.0,0.0,1.0,1.0,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,1.0,0.0,0.0,0.5789473684210527,0.0,1.0,1.0,0.24999999999999994,0.75,0.3333333333333333,0.14605120807789504,0.0981996726677579,0.5356151711378355,0.47872340425531945,7.144541992121004e-08,0.5762687866791024,0.68371508445806,0.8616878776216765,0.8730766190551947,0.1414063590542286,0.2904425769622867,0.37645232925151023,0.5533669618734329,0.4802919352009726,0.35747184309654845,0.8745283041780236,0.8002922641154785,0.7995613991475025,0.5552832857749985,0.8081393882698816,0.3155874005626328,0.6720703550913489,0.012621394705083638,1.0,0.0,0.5344418713145996,0.2994589591196228,0.9099520899360747,0.3344431535999979
38702645,1.0,0.25974025974025977,0.17992880855307175,1.0,0.25974025974025977,0.17992880855307175,0.0,0.7541529809680154,0.8200000000000001,0.0,0.13636363636363635,0.6890756302521008,0.15976331360946744,0.8200000000000001,0.12588494441782064,0.12588494441782067,0.12743325379824721,0.12532487880980628,0.2272727272727273,0.2272727272727273,0.2716763005780344,0.23979591836734687,0.402439024390244,0.0,0.2926829268292683,0.21538461538461562,0.387218045112782,0.402439024390244,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.75,0.7391304347826088,0.0,0.0,0.0,0.0,0.36,0.36,0.288135593220339,0.28813559322033905,0.0,0.0,0.0,0.0,0.0,1.0,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.0,0.0,0.5555555555555556,0.31578947368421056,0.5882352941176471,1.0,1.0,0.0,0.75,0.0,0.33368644067796605,0.09375000000000029,0.8478260869565221,0.0,2.335255230263136e-08,0.24320343378774328,0.8337406393158698,0.7483130669936296,0.6733123802118852,0.26185072773073237,0.5537948152115433,0.18821862914106166,0.29146566408429625,0.4827558544571852,0.19721818517306863,0.7356838173874346,0.7771322476549156,0.7175998054622952,0.4341921718254799,0.690545892169916,0.047800071615774826,0.600339396191579,0.00040930861204950043,1.0,0.0,0.2937663787626798,0.11701571868335339,0.5552003642337067,0.1698794245999986
